name,cagr,mdd,sharpe,is_cagr,is_mdd,oos_cagr,oos_mdd,start,yearly
DAA,0.088,-0.1576,0.947,0.0924,-0.0982,0.0853,-0.1576,2017-10-16,"{""2017"": 0.019, ""2018"": 0.025, ""2019"": 0.094, ""2020"": 0.162, ""2021"": 0.035, ""2022"": -0.051, ""2023"": 0.111, ""2024"": 0.158, ""2025"": 0.29, ""2026"": -0.017}"
HAA,0.0905,-0.195,0.82,0.0414,-0.195,0.1179,-0.1357,2017-10-16,"{""2017"": 0.021, ""2018"": 0.006, ""2019"": 0.054, ""2020"": 0.052, ""2021"": 0.233, ""2022"": -0.03, ""2023"": 0.109, ""2024"": 0.102, ""2025"": 0.215, ""2026"": 0.072}"
PP,0.0655,-0.1285,0.931,0.0688,-0.1188,0.0624,-0.1285,2017-10-16,"{""2017"": 0.01, ""2018"": -0.006, ""2019"": 0.125, ""2020"": 0.096, ""2021"": 0.047, ""2022"": -0.077, ""2023"": 0.113, ""2024"": 0.12, ""2025"": 0.166, ""2026"": 0.013}"
S,0.3226,-0.4199,1.076,0.2919,-0.4199,0.3386,-0.4081,2017-10-16,"{""2017"": -0.0, ""2018"": 0.111, ""2019"": 0.387, ""2020"": 0.476, ""2021"": 0.8, ""2022"": -0.164, ""2023"": 0.078, ""2024"": -0.094, ""2025"": 0.942, ""2026"": 0.872}"
ML,0.1625,-0.5151,0.778,0.219,-0.5151,0.1259,-0.3036,2017-10-16,"{""2017"": 0.075, ""2018"": -0.01, ""2019"": 0.11, ""2020"": 0.597, ""2021"": 0.436, ""2022"": -0.07, ""2023"": 0.447, ""2024"": -0.174, ""2025"": 0.279, ""2026"": -0.002}"
PEAD,-0.0787,-0.7035,-0.17,0.0402,-0.5677,-0.1409,-0.7035,2017-10-16,"{""2017"": 0.074, ""2018"": -0.266, ""2019"": 0.071, ""2020"": 0.344, ""2021"": -0.031, ""2022"": -0.311, ""2023"": -0.064, ""2024"": -0.151, ""2025"": -0.026, ""2026"": -0.181}"
S40+DAA30+PP30,0.1797,-0.233,1.189,0.1693,-0.233,0.1845,-0.2138,2017-10-16,"{""2017"": 0.008, ""2018"": 0.063, ""2019"": 0.216, ""2020"": 0.267, ""2021"": 0.305, ""2022"": -0.096, ""2023"": 0.103, ""2024"": 0.041, ""2025"": 0.482, ""2026"": 0.322}"
S40+DAA30+PP30 +CPPI,0.1164,-0.1475,1.171,0.0933,-0.1475,0.1288,-0.13,2017-10-16,"{""2017"": 0.005, ""2018"": 0.042, ""2019"": 0.14, ""2020"": 0.115, ""2021"": 0.216, ""2022"": -0.075, ""2023"": 0.06, ""2024"": 0.024, ""2025"": 0.342, ""2026"": 0.228}"
S50+DAA50,0.2099,-0.2753,1.152,0.1972,-0.264,0.2163,-0.2753,2017-10-16,"{""2017"": 0.009, ""2018"": 0.083, ""2019"": 0.235, ""2020"": 0.32, ""2021"": 0.374, ""2022"": -0.098, ""2023"": 0.1, ""2024"": 0.026, ""2025"": 0.588, ""2026"": 0.388}"
S50+DAA50 +CPPI,0.1277,-0.16,1.114,0.0971,-0.16,0.1445,-0.154,2017-10-16,"{""2017"": 0.006, ""2018"": 0.053, ""2019"": 0.137, ""2020"": 0.118, ""2021"": 0.256, ""2022"": -0.079, ""2023"": 0.053, ""2024"": 0.007, ""2025"": 0.396, ""2026"": 0.269}"
S70+DAA30,0.2563,-0.3294,1.121,0.2366,-0.3269,0.2665,-0.3294,2017-10-16,"{""2017"": 0.006, ""2018"": 0.098, ""2019"": 0.294, ""2020"": 0.383, ""2021"": 0.533, ""2022"": -0.122, ""2023"": 0.092, ""2024"": -0.023, ""2025"": 0.723, ""2026"": 0.573}"
S70+DAA30 +CPPI,0.1311,-0.1832,1.024,0.0715,-0.1832,0.1651,-0.1707,2017-10-16,"{""2017"": 0.002, ""2018"": 0.064, ""2019"": 0.131, ""2020"": 0.035, ""2021"": 0.342, ""2022"": -0.1, ""2023"": 0.037, ""2024"": -0.017, ""2025"": 0.418, ""2026"": 0.38}"
S35+ML35+DAA30,0.2025,-0.3316,1.088,0.2132,-0.3316,0.1937,-0.2592,2017-10-16,"{""2017"": 0.032, ""2018"": 0.055, ""2019"": 0.199, ""2020"": 0.424, ""2021"": 0.416, ""2022"": -0.091, ""2023"": 0.213, ""2024"": -0.054, ""2025"": 0.49, ""2026"": 0.27}"
S35+ML35+DAA30 +CPPI,0.1008,-0.1853,0.942,0.0609,-0.1853,0.1216,-0.1492,2017-10-16,"{""2017"": 0.021, ""2018"": 0.051, ""2019"": 0.075, ""2020"": 0.047, ""2021"": 0.269, ""2022"": -0.071, ""2023"": 0.1, ""2024"": -0.044, ""2025"": 0.315, ""2026"": 0.198}"
S30+ML30+DAA20+PP20,0.1825,-0.3009,1.113,0.192,-0.3009,0.1746,-0.2202,2017-10-16,"{""2017"": 0.028, ""2018"": 0.046, ""2019"": 0.191, ""2020"": 0.371, ""2021"": 0.359, ""2022"": -0.09, ""2023"": 0.199, ""2024"": -0.033, ""2025"": 0.433, ""2026"": 0.239}"
S30+ML30+DAA20+PP20 +CPPI,0.1009,-0.1735,1.002,0.0744,-0.1735,0.114,-0.1337,2017-10-16,"{""2017"": 0.019, ""2018"": 0.042, ""2019"": 0.087, ""2020"": 0.091, ""2021"": 0.24, ""2022"": -0.072, ""2023"": 0.105, ""2024"": -0.032, ""2025"": 0.297, ""2026"": 0.175}"
S30+ML20+PEAD20+DAA30,0.1416,-0.3308,0.819,0.1727,-0.3308,0.1224,-0.2605,2017-10-16,"{""2017"": 0.035, ""2018"": -0.012, ""2019"": 0.179, ""2020"": 0.382, ""2021"": 0.297, ""2022"": -0.138, ""2023"": 0.128, ""2024"": -0.053, ""2025"": 0.383, ""2026"": 0.186}"
S30+ML20+PEAD20+DAA30 +CPPI,0.0671,-0.186,0.708,0.0422,-0.186,0.0798,-0.1543,2017-10-16,"{""2017"": 0.024, ""2018"": 0.007, ""2019"": 0.062, ""2020"": 0.042, ""2021"": 0.189, ""2022"": -0.077, ""2023"": 0.055, ""2024"": -0.023, ""2025"": 0.209, ""2026"": 0.144}"
