key,is_cagr,is_mdd,oos_cagr,oos_mdd,cagr,mdd,sharpe,yearly
sl0.00_lb126_vt0.00,0.1468,-0.521,0.2198,-0.4749,0.1872,-0.521,0.78,"{'2016': 0.092, '2017': 0.15, '2018': 0.138, '2019': 0.12, '2020': 0.192, '2021': 0.685, '2022': -0.206, '2023': -0.183, '2024': -0.103, '2025': 0.714, '2026': 0.872}"
sl0.00_lb126_vt0.20,0.1278,-0.4092,0.1248,-0.4725,0.1268,-0.4725,0.742,"{'2016': 0.07, '2017': 0.154, '2018': 0.171, '2019': 0.116, '2020': 0.092, '2021': 0.484, '2022': -0.212, '2023': -0.181, '2024': -0.105, '2025': 0.665, '2026': 0.385}"
sl0.00_lb252_vt0.00,0.121,-0.4199,0.1993,-0.5259,0.1642,-0.5259,0.702,"{'2016': 0.009, '2017': 0.019, '2018': 0.124, '2019': 0.244, '2020': 0.192, '2021': 0.8, '2022': -0.317, '2023': -0.098, '2024': -0.077, '2025': 0.488, '2026': 0.872}"
sl0.00_lb252_vt0.20,0.0864,-0.3246,0.1022,-0.5053,0.0957,-0.5053,0.59,"{'2016': 0.009, '2017': 0.019, '2018': 0.143, '2019': 0.151, '2020': 0.092, '2021': 0.548, '2022': -0.32, '2023': -0.098, '2024': -0.075, '2025': 0.446, '2026': 0.385}"
sl0.10_lb126_vt0.00,0.0393,-0.5026,0.1534,-0.4081,0.103,-0.5026,0.548,"{'2016': -0.036, '2017': 0.145, '2018': 0.102, '2019': -0.041, '2020': 0.029, '2021': -0.06, '2022': -0.15, '2023': -0.024, '2024': -0.073, '2025': 0.714, '2026': 0.872}"
sl0.10_lb126_vt0.20,0.0351,-0.4784,0.0864,-0.3889,0.0655,-0.4962,0.505,"{'2016': -0.036, '2017': 0.145, '2018': 0.115, '2019': -0.041, '2020': -0.003, '2021': -0.068, '2022': -0.15, '2023': -0.024, '2024': -0.076, '2025': 0.665, '2026': 0.385}"
sl0.10_lb252_vt0.00,0.0753,-0.2749,0.1655,-0.4081,0.1265,-0.4081,0.651,"{'2016': 0.009, '2017': 0.149, '2018': -0.025, '2019': 0.032, '2020': 0.207, '2021': 0.03, '2022': -0.079, '2023': 0.01, '2024': -0.077, '2025': 0.488, '2026': 0.872}"
sl0.10_lb252_vt0.20,0.0739,-0.2644,0.0984,-0.2832,0.0898,-0.2832,0.665,"{'2016': 0.009, '2017': 0.149, '2018': -0.012, '2019': 0.032, '2020': 0.184, '2021': 0.019, '2022': -0.079, '2023': 0.01, '2024': -0.075, '2025': 0.446, '2026': 0.385}"
sl0.20_lb126_vt0.00,-0.0077,-0.5868,0.1552,-0.5456,0.0792,-0.5868,0.437,"{'2016': -0.052, '2017': 0.111, '2018': -0.034, '2019': -0.019, '2020': -0.035, '2021': 0.166, '2022': -0.317, '2023': -0.03, '2024': -0.073, '2025': 0.714, '2026': 0.872}"
sl0.20_lb126_vt0.20,-0.0198,-0.5472,0.0837,-0.547,0.0363,-0.5998,0.299,"{'2016': -0.052, '2017': 0.11, '2018': -0.006, '2019': -0.02, '2020': -0.112, '2021': 0.126, '2022': -0.315, '2023': -0.03, '2024': -0.076, '2025': 0.665, '2026': 0.385}"
sl0.20_lb252_vt0.00,0.0363,-0.3743,0.1948,-0.4081,0.1211,-0.4081,0.602,"{'2016': 0.009, '2017': 0.018, '2018': -0.067, '2019': 0.05, '2020': 0.176, '2021': 0.199, '2022': -0.105, '2023': 0.01, '2024': -0.077, '2025': 0.488, '2026': 0.872}"
sl0.20_lb252_vt0.20,0.025,-0.3617,0.119,-0.3585,0.0761,-0.3617,0.531,"{'2016': 0.009, '2017': 0.018, '2018': -0.049, '2019': 0.035, '2020': 0.112, '2021': 0.167, '2022': -0.123, '2023': 0.01, '2024': -0.075, '2025': 0.446, '2026': 0.385}"
