name,cagr,mdd,sharpe,5y_min,5y_med,5y_share30,p_cagr30,p_loss,median_cagr,p5_cagr,median_mdd,p5_mdd
S40+DAA30+PP30 x1.0 금리0.0%,0.1797,-0.233,1.189,0.11392677617135871,0.1428676971318651,0.0,0.1069,0.0041,0.1836370354518727,0.06217493830356256,-0.13671399708380416,-0.23742635790580144
S40+DAA30+PP30 x1.5 금리3.5%,0.2481,-0.3338,1.11,0.14793777322365997,0.19270305688407974,0.0,0.3729,0.0092,0.25539867559339313,0.06843983105619171,-0.2114895993782026,-0.3564734639274256
S40+DAA30+PP30 x1.5 금리8.0%,0.2211,-0.3363,1.011,0.12298987647053705,0.16683823964877154,0.0,0.2983,0.0151,0.2282316024688642,0.0452898287546394,-0.22332787895963147,-0.373482201205342
S40+DAA30+PP30 x2.0 금리3.5%,0.3124,-0.4235,1.069,0.1775965963976911,0.23878088551452026,0.10416666666666667,0.5486,0.0132,0.3236503105453127,0.06860810212229748,-0.28468308889275984,-0.46297770182514536
S40+DAA30+PP30 x2.0 금리8.0%,0.2562,-0.4278,0.921,0.12696799080325283,0.18568746092496324,0.0,0.4314,0.0321,0.26702077399976154,0.022843372115413808,-0.30899348331448073,-0.4989121340652219
S40+DAA30+PP30 x2.5 금리3.5%,0.3715,-0.5031,1.043,0.20246428856957666,0.2762155866724152,0.2708333333333333,0.6443,0.0177,0.3880617748008012,0.06397320866689062,-0.355968812945394,-0.5569630752596486
S40+DAA30+PP30 x2.5 금리8.0%,0.2843,-0.5086,0.866,0.1257548132749,0.1953068390199192,0.041666666666666664,0.4996,0.0526,0.29990833296536346,-0.0038130000640702677,-0.39074562487474807,-0.6047747541979646
S50+DAA50 x1.0 금리0.0%,0.2099,-0.2753,1.152,0.13043717493341211,0.16852560522485815,0.0,0.2246,0.0053,0.21453922104877277,0.06741928552238982,-0.16143456356539576,-0.27360835207771517
S50+DAA50 x1.5 금리3.5%,0.2911,-0.3917,1.086,0.17078141080125353,0.22882984839845932,0.041666666666666664,0.5,0.0106,0.29989444430776124,0.07286743577748789,-0.248021700226764,-0.40660478814466045
S50+DAA50 x1.5 금리8.0%,0.2632,-0.3932,1.005,0.14533838037289182,0.20221518604353905,0.0,0.4378,0.0172,0.2716824463574631,0.049491155949389465,-0.26063707787214546,-0.4237895268263552
S50+DAA50 x2.0 금리3.5%,0.3655,-0.4938,1.052,0.20509360657432407,0.282520835793064,0.25,0.6352,0.0163,0.38171896548808726,0.06913653423671468,-0.3320830525583417,-0.5235615919326654
S50+DAA50 x2.0 금리8.0%,0.307,-0.4963,0.93,0.15328507668617775,0.2275916122941588,0.10416666666666667,0.5364,0.0347,0.32261419214552667,0.023250085648965867,-0.3563391043852425,-0.5518184577221229
S50+DAA50 x2.5 금리3.5%,0.4311,-0.5825,1.03,0.2326730616065409,0.3268128320732542,0.7708333333333334,0.7,0.0234,0.4552414279378314,0.05937316711163149,-0.4140907430675902,-0.6240903773445626
S50+DAA50 x2.5 금리8.0%,0.3401,-0.5856,0.884,0.15403822227554387,0.24226579089779865,0.10416666666666667,0.5837,0.0548,0.3628422868865252,-0.008296449556962286,-0.44598905218412715,-0.6652673770800939
S126_40+DAA30+PP30 (편향제거) x1.0 금리0.0%,0.1468,-0.233,1.002,0.0707879013443351,0.10018232725874354,0.0,0.0495,0.0135,0.14436838076904646,0.032041941495418044,-0.14265836145516125,-0.2444178935946145
S126_40+DAA30+PP30 (편향제거) x1.5 금리3.5%,0.1964,-0.3338,0.923,0.08207681885956375,0.1268910234000561,0.0,0.2196,0.0259,0.19338175622303144,0.023038141071146014,-0.22347034848807684,-0.3689493576141845
S126_40+DAA30+PP30 (편향제거) x1.5 금리8.0%,0.1704,-0.3363,0.824,0.05855472290344865,0.1023692111807204,0.0,0.167,0.0483,0.16762365969579918,0.0008885544387356971,-0.23635084037222498,-0.39470592437971014
S126_40+DAA30+PP30 (편향제거) x2.0 금리3.5%,0.2405,-0.4235,0.882,0.0886124655605045,0.14953556403246715,0.0,0.366,0.0413,0.23772647020441828,0.00962705984505641,-0.3006559941483439,-0.4823912212426013
S126_40+DAA30+PP30 (편향제거) x2.0 금리8.0%,0.1874,-0.4636,0.733,0.04179509471019993,0.10016833843600847,0.0,0.2628,0.0885,0.18469631711876788,-0.03365007776954865,-0.3273698456119671,-0.5297166129824372
S126_40+DAA30+PP30 (편향제거) x2.5 금리3.5%,0.2784,-0.5031,0.856,0.09025558075719453,0.1680788760737134,0.020833333333333332,0.4575,0.0569,0.2761436979425411,-0.00890631276951308,-0.3728463367392255,-0.5822915332478728
S126_40+DAA30+PP30 (편향제거) x2.5 금리8.0%,0.1971,-0.5858,0.678,0.020677830748820458,0.09396200198945825,0.0,0.3221,0.1319,0.19530345125508886,-0.07212849825107362,-0.4148489449441977,-0.6421912012980019
