전략,개월,월평균(기하),중앙값,+5%↑ 달,손실 달,최악 달,월 표준편차,12개월구간 월평균≥5% 비율
S,107,0.023452629134537162,0.0203024200746047,0.3925233644859813,0.3925233644859813,-0.21316548687283488,0.10051499625059823,0.19791666666666666
S70+DAA30,107,0.01910756369930411,0.01339691396992504,0.308411214953271,0.38317757009345793,-0.17635016794378933,0.07546037811143659,0.15625
KODEX레버리지 보유,107,0.0174337559467721,0.01192893401015227,0.3644859813084112,0.4485981308411215,-0.4518121402277837,0.18185653528546156,0.21875
나스닥100 보유,107,0.01705335627533544,0.022211142963978636,0.3364485981308411,0.3644859813084112,-0.12817844909220566,0.05692001167067597,0.0
S50+DAA50,107,0.01593387876934238,0.012172516994826799,0.2523364485981308,0.3925233644859813,-0.16143456356539554,0.05943577870926326,0.041666666666666664
S35+ML35+DAA30,107,0.01537689341922066,0.013136531648228589,0.2616822429906542,0.38317757009345793,-0.1508968297336637,0.0603169873449968,0.09375
S30+ML30+DAA20+PP20,107,0.013992453812264882,0.010998190763487958,0.2523364485981308,0.3925233644859813,-0.12459025451236005,0.05302724773380009,0.03125
S40+DAA30+PP30,107,0.013832034906857249,0.010853264535116702,0.205607476635514,0.35514018691588783,-0.13417838151589856,0.04899975799498291,0.03125
KODEX200 보유,107,0.013157268776456066,0.009753142510979806,0.27102803738317754,0.4392523364485981,-0.21316548687283532,0.08549776168251269,0.10416666666666667
ML,107,0.01246290833564978,0.011539169352166256,0.2616822429906542,0.4485981308411215,-0.1749812789845877,0.07440651734262693,0.09375
S30+ML20+PEAD20+DAA30,107,0.011009803695441356,0.009951925446951781,0.2336448598130841,0.40186915887850466,-0.1416066239594549,0.05711456801811974,0.03125
S70+DAA30 +CPPI,107,0.010249887162410598,0.005055734622256169,0.12149532710280374,0.411214953271028,-0.11714521991357596,0.04622452121364814,0.03125
S50+DAA50 +CPPI,107,0.01000975164943374,0.006289191491070323,0.09345794392523364,0.411214953271028,-0.10739219899680663,0.03949462815168864,0.010416666666666666
S40+DAA30+PP30 +CPPI,107,0.009201841046842851,0.006214162014823721,0.09345794392523364,0.3925233644859813,-0.09155076503856685,0.033638261704230725,0.0
S30+ML30+DAA20+PP20 +CPPI,107,0.007998150780933688,0.005329583164225049,0.12149532710280374,0.3925233644859813,-0.09401601080634192,0.03400140852954309,0.0
S35+ML35+DAA30 +CPPI,107,0.007960752867699039,0.005767527629312541,0.12149532710280374,0.3925233644859813,-0.09133355947995758,0.03631763648668573,0.0
HAA,125,0.007247546339056443,0.004076268536616912,0.056,0.296,-0.1252245801018803,0.03249696552199897,0.0
DAA,107,0.007020790168436708,0.00477319084173522,0.056074766355140186,0.2897196261682243,-0.1238053380619536,0.028835676054520747,0.0
DAA_G12,125,0.006807982787141231,0.00477319084173522,0.048,0.296,-0.1238053380619536,0.026986204807413785,0.0
60/40,125,0.0060495489594094565,0.009609622449504363,0.04,0.296,-0.0678957263391029,0.028424343569584794,0.0
PP,107,0.005373011996791854,0.008615364322014152,0.0,0.34579439252336447,-0.05756348505123854,0.01893848009961392,0.0
S30+ML20+PEAD20+DAA30 +CPPI,107,0.005369236126754773,0.0034851810326315125,0.08411214953271028,0.42990654205607476,-0.07880819537658834,0.03220560212075101,0.0
VAA_G4,125,0.005155826063426794,0.001354677255898995,0.048,0.328,-0.2147391558990892,0.05312823633165409,0.0
영구포트폴리오,125,0.005004857922627837,0.00748310699029564,0.0,0.36,-0.05756348505123843,0.018064058369680443,0.0
GEM,125,0.004997990523041285,0.009853234358430552,0.064,0.344,-0.11750052443885006,0.0390482730465644,0.0
위험균형,125,0.004514312003263354,0.005405936963052138,0.024,0.344,-0.0586315565248412,0.019635912933688614,0.0
GTAA5,125,0.002975492633091381,0.005973298546243733,0.0,0.368,-0.0823530864716745,0.018155764684014628,0.0
PEAD,107,-0.006854328370206941,-0.00312142839596663,0.205607476635514,0.514018691588785,-0.21999666949075736,0.0742788925698062,0.0
