name,cagr,mdd,sharpe,oos_cagr,oos_mdd,cut2024_cagr,5y_min,5y_med,p5y30,yearly
기준: S126_40+DAA30+PP30 x1,0.1468,-0.233,1.002,0.1411,-0.2138,0.0918,0.07078790134433444,0.1001823272587431,0.0495,"{""2017"": 0.0, ""2018"": 0.112, ""2019"": 0.203, ""2020"": 0.187, ""2021"": 0.257, ""2022"": -0.107, ""2023"": 0.063, ""2024"": -0.006, ""2025"": 0.366, ""2026"": 0.322}"
#1 조건부레버리지 Lmax1.5 금리4%,0.1659,-0.2957,0.941,0.1623,-0.2727,0.0885,0.06279770364009485,0.11067682682765356,0.1436,"{""2017"": 0.0, ""2018"": 0.077, ""2019"": 0.256, ""2020"": 0.22, ""2021"": 0.376, ""2022"": -0.16, ""2023"": 0.022, ""2024"": -0.056, ""2025"": 0.542, ""2026"": 0.387}"
#1 조건부레버리지 Lmax1.5 금리8%,0.1524,-0.3009,0.877,0.1485,-0.3009,0.0753,0.048943509698113674,0.09578557878689897,0.1182,"{""2017"": 0.0, ""2018"": 0.072, ""2019"": 0.234, ""2020"": 0.203, ""2021"": 0.349, ""2022"": -0.166, ""2023"": 0.013, ""2024"": -0.071, ""2025"": 0.521, ""2026"": 0.384}"
#1 조건부레버리지 Lmax2.0 금리4%,0.162,-0.3885,0.821,0.161,-0.3885,0.0734,0.037820709715264966,0.10408601132566464,0.1804,"{""2017"": 0.0, ""2018"": 0.043, ""2019"": 0.309, ""2020"": 0.176, ""2021"": 0.493, ""2022"": -0.208, ""2023"": -0.018, ""2024"": -0.108, ""2025"": 0.655, ""2026"": 0.388}"
#1 조건부레버리지 Lmax2.0 금리8%,0.1371,-0.4375,0.718,0.1354,-0.4375,0.0487,0.01252659956747193,0.07589393915285991,0.1336,"{""2017"": 0.0, ""2018"": 0.036, ""2019"": 0.264, ""2020"": 0.149, ""2021"": 0.436, ""2022"": -0.219, ""2023"": -0.035, ""2024"": -0.135, ""2025"": 0.616, ""2026"": 0.384}"
#1 조건부레버리지 Lmax2.5 금리4%,0.1448,-0.4887,0.706,0.142,-0.4887,0.0449,-0.00012209740816326864,0.07975895759868468,0.1742,"{""2017"": 0.0, ""2018"": 0.007, ""2019"": 0.335, ""2020"": 0.148, ""2021"": 0.48, ""2022"": -0.244, ""2023"": -0.047, ""2024"": -0.167, ""2025"": 0.757, ""2026"": 0.388}"
#1 조건부레버리지 Lmax2.5 금리8%,0.113,-0.5431,0.584,0.1096,-0.5431,0.0139,-0.030739935298474297,0.045744392107780696,0.1212,"{""2017"": 0.0, ""2018"": -0.003, ""2019"": 0.271, ""2020"": 0.117, ""2021"": 0.411, ""2022"": -0.257, ""2023"": -0.07, ""2024"": -0.201, ""2025"": 0.703, ""2026"": 0.384}"
"#2 글로벌 단일자산 모멘텀 2x (2005~, 미국)",0.132,-0.6433,0.513,0.3443,-0.4321,0.0872,-0.13600410618640468,0.04860714525371623,0.1757,"{""2005"": 0.365, ""2006"": 0.104, ""2007"": 0.34, ""2008"": 0.028, ""2009"": -0.263, ""2010"": -0.093, ""2011"": 0.192, ""2012"": -0.018, ""2013"": 0.501, ""2014"": 0.324, ""2015"": -0.128, ""2016"": -0.435, ""2017"": 0.467, ""2018"": -0.202, ""2019"": -0.047, ""2020"": 0.566, ""2021"": 0.273, ""2022"": -0.385, ""2023"": 0.5, ""2024"": 0.624, ""2025"": 1.452, ""2026"": 0.129}"
  └ 같은 규칙 2017-10~,0.2394,-0.5133,0.746,0.3443,-0.4321,0.133,-0.023186449827333422,0.20101938507599815,0.3807,"{""2017"": 0.084, ""2018"": -0.202, ""2019"": -0.047, ""2020"": 0.566, ""2021"": 0.273, ""2022"": -0.385, ""2023"": 0.5, ""2024"": 0.624, ""2025"": 1.452, ""2026"": 0.129}"
#3 소형가치 집중 10종목 + 전환126,0.2264,-0.4769,0.819,0.2566,-0.4769,0.1391,0.05849074935365062,0.17920828960090962,0.3538,"{""2016"": 0.164, ""2017"": 0.177, ""2018"": 0.088, ""2019"": 0.492, ""2020"": 0.017, ""2021"": 0.994, ""2022"": -0.216, ""2023"": 0.105, ""2024"": -0.205, ""2025"": 0.446, ""2026"": 0.872}"
#4 한국 섹터 ETF 모멘텀 상위2,0.1608,-0.5135,0.687,0.2467,-0.3941,0.0544,-0.04706448228117677,0.07101387007517046,0.1958,"{""2016"": 0.006, ""2017"": 0.256, ""2018"": -0.053, ""2019"": -0.051, ""2020"": 0.118, ""2021"": -0.027, ""2022"": -0.133, ""2023"": 0.206, ""2024"": 0.227, ""2025"": 0.484, ""2026"": 1.016}"
