name,cagr,mdd,sharpe,oos_cagr,oos_mdd,cut2024_cagr,5y_min,5y_med,p5y30,yearly,dsr,pass
S126(기준),0.226,-0.4951,0.858,0.2205,-0.4951,0.1269,0.06089633953969775,0.15511652644045437,0.3415,"{""2016"": 0.121, ""2017"": 0.122, ""2018"": 0.237, ""2019"": 0.353, ""2020"": 0.263, ""2021"": 0.645, ""2022"": -0.188, ""2023"": -0.014, ""2024"": -0.192, ""2025"": 0.584, ""2026"": 0.872}",0.1829,
T1 hold_buffer,0.2024,-0.4879,0.79,0.2109,-0.4879,0.1147,0.05211672931075961,0.1384469833513976,0.2872,"{""2016"": 0.109, ""2017"": 0.117, ""2018"": 0.249, ""2019"": 0.264, ""2020"": 0.163, ""2021"": 0.72, ""2022"": -0.162, ""2023"": -0.035, ""2024"": -0.186, ""2025"": 0.421, ""2026"": 0.872}",0.1323,
T2 +trend_hold200,0.2175,-0.4879,0.833,0.2388,-0.4879,0.1147,0.05211672931075961,0.1529506241189944,0.3221,"{""2016"": 0.109, ""2017"": 0.117, ""2018"": 0.249, ""2019"": 0.264, ""2020"": 0.163, ""2021"": 0.72, ""2022"": -0.162, ""2023"": -0.035, ""2024"": -0.186, ""2025"": 0.62, ""2026"": 0.872}",0.1652,
T3 +chandelier_losers,0.18,-0.4604,0.777,0.2197,-0.4081,0.0514,-0.030057008011789677,0.06236526606615367,0.2291,"{""2016"": 0.043, ""2017"": 0.23, ""2018"": 0.007, ""2019"": 0.144, ""2020"": 0.191, ""2021"": 0.024, ""2022"": -0.242, ""2023"": 0.249, ""2024"": -0.094, ""2025"": 0.942, ""2026"": 0.872}",0.1225,
T4 +chandelier_regime,0.1869,-0.4313,0.819,0.2045,-0.4081,0.0588,-0.00925576750787227,0.07640571448228273,0.2433,"{""2016"": 0.043, ""2017"": 0.23, ""2018"": 0.164, ""2019"": -0.007, ""2020"": 0.356, ""2021"": 0.065, ""2022"": -0.228, ""2023"": 0.098, ""2024"": -0.094, ""2025"": 0.942, ""2026"": 0.872}",0.1534,
T5 vol_breakout(122630),0.098,-0.4657,0.518,0.0748,-0.4657,0.0233,-0.0545345438570336,0.07283520642474395,0.0688,"{""2014"": -0.073, ""2015"": -0.048, ""2016"": -0.011, ""2017"": 0.157, ""2018"": 0.015, ""2019"": 0.065, ""2020"": 0.891, ""2021"": -0.095, ""2022"": -0.249, ""2023"": 0.121, ""2024"": -0.191, ""2025"": 0.225, ""2026"": 1.011}",0.0175,
T6 rsi2_mr(069500),0.0357,-0.2147,0.315,0.1075,-0.2147,-0.0176,-0.03706441076322575,-0.003320778610457764,0.0003,"{""2014"": 0.0, ""2015"": -0.099, ""2016"": 0.033, ""2017"": 0.086, ""2018"": -0.055, ""2019"": -0.018, ""2020"": -0.086, ""2021"": 0.122, ""2022"": 0.0, ""2023"": -0.044, ""2024"": -0.097, ""2025"": 0.119, ""2026"": 0.654}",0.0015,
T7 donchian(069500),0.0878,-0.2782,0.633,0.1332,-0.2782,0.0152,-0.011580348004642471,0.03490391051061681,0.0421,"{""2014"": 0.0, ""2015"": -0.012, ""2016"": -0.055, ""2017"": 0.205, ""2018"": -0.069, ""2019"": -0.013, ""2020"": 0.291, ""2021"": -0.006, ""2022"": 0.0, ""2023"": -0.019, ""2024"": -0.1, ""2025"": 0.448, ""2026"": 0.649}",0.0465,
T9 accel,0.2216,-0.5903,0.839,0.304,-0.4081,0.1306,0.11523738606954748,0.19388532071277853,0.3365,"{""2016"": 0.121, ""2017"": 0.122, ""2018"": 0.039, ""2019"": -0.013, ""2020"": 0.337, ""2021"": 0.902, ""2022"": -0.197, ""2023"": 0.219, ""2024"": -0.094, ""2025"": 0.482, ""2026"": 0.872}",0.1814,
T10,0.1682,-0.2836,0.922,0.1792,-0.2836,0.0819,0.06291730406544604,0.10111626301000598,0.1517,"{""2017"": -0.007, ""2018"": 0.129, ""2019"": 0.155, ""2020"": 0.196, ""2021"": 0.334, ""2022"": -0.088, ""2023"": 0.013, ""2024"": -0.076, ""2025"": 0.484, ""2026"": 0.534}",0.2765,False
T12,0.1814,-0.3269,0.896,0.1938,-0.3269,0.0845,0.059868325542941525,0.10713687731513444,0.199,"{""2017"": -0.011, ""2018"": 0.151, ""2019"": 0.171, ""2020"": 0.196, ""2021"": 0.404, ""2022"": -0.1, ""2023"": -0.001, ""2024"": -0.108, ""2025"": 0.518, ""2026"": 0.63}",0.2525,False
