name,kind,family,market,tier,style,hold,slip,capacity_ukwon,cagr,mdd,sharpe,is_cagr,is_sharpe,oos_cagr,oos_mdd,cut2024_cagr,5y_min,top2yr_share,concentrated,yearly,cagr_slip2x,n_events,gap_mean,ev_ret_mean,hit_rate,invested,delisted_in_hold,delisted_share,dsr,pass,pbo_group,n_trials
M*25+S25+DAA25+PP25 [KOSDAQ-large-mom],combo,combo,ALL,mix,combo,21,0.015,,0.1306,-0.2575,0.837,0.1698,1.115,0.1081,-0.2575,0.0734,0.045936289402876085,0.57,False,"{""2017"": 0.074, ""2018"": 0.076, ""2019"": 0.149, ""2020"": 0.245, ""2021"": 0.175, ""2022"": -0.217, ""2023"": 0.096, ""2024"": -0.001, ""2025"": 0.509, ""2026"": 0.192}",,,,,,,,,0.0,False,0.02362082362082362,391
S(value) base,filter,value,ALL,small,value,63,0.01,,0.1716,-0.4835,0.781,0.3727,1.367,0.0268,-0.4835,0.2128,-0.09810619735417181,0.59,False,"{""2016"": 0.481, ""2017"": 0.145, ""2018"": 0.281, ""2019"": 0.387, ""2020"": 0.476, ""2021"": 0.8, ""2022"": -0.164, ""2023"": 0.048, ""2024"": -0.235, ""2025"": 0.075, ""2026"": -0.095}",,,,,,,,,0.0,False,0.02362082362082362,391
S(value) -avoid,filter,value,ALL,small,value -avoid,63,0.01,,0.162,-0.4546,0.745,0.354,1.319,0.0234,-0.4546,0.1904,-0.09344284089665056,0.58,False,"{""2016"": 0.486, ""2017"": 0.142, ""2018"": 0.246, ""2019"": 0.372, ""2020"": 0.437, ""2021"": 0.674, ""2022"": -0.154, ""2023"": 0.03, ""2024"": -0.249, ""2025"": 0.086, ""2026"": -0.032}",,,,,,,,,0.0,False,0.02362082362082362,391
M*20+C*20+S20+DAA20+PP20,combo,combo,ALL,mix,combo,21,0.015,,0.0953,-0.2941,0.629,0.1421,0.91,0.0691,-0.2701,0.0457,0.01992125611994755,0.68,False,"{""2017"": 0.061, ""2018"": 0.061, ""2019"": 0.111, ""2020"": 0.224, ""2021"": 0.123, ""2022"": -0.208, ""2023"": 0.062, ""2024"": -0.046, ""2025"": 0.417, ""2026"": 0.154}",,,,,,,,,0.0,False,0.02362082362082362,391
M*t40+DAA30+PP30 [KOSDAQ-large-mom+timing],combo,combo,ALL,mix,combo,21,0.015,,0.054,-0.2843,0.474,0.0626,0.608,0.0481,-0.2843,0.0226,-0.010687616150803159,0.9,True,"{""2017"": 0.117, ""2018"": -0.013, ""2019"": 0.022, ""2020"": 0.078, ""2021"": -0.033, ""2022"": -0.039, ""2023"": -0.037, ""2024"": 0.08, ""2025"": 0.366, ""2026"": -0.003}",,,,,,,,,0.0,False,0.02362082362082362,391
M*40+DAA30+PP30 [KOSDAQ-large-mom],combo,combo,ALL,mix,combo,21,0.015,,0.0619,-0.2927,0.463,0.1342,0.888,0.0223,-0.2893,0.0273,-0.020965582749753686,0.95,True,"{""2017"": 0.117, ""2018"": 0.064, ""2019"": 0.07, ""2020"": 0.177, ""2021"": 0.005, ""2022"": -0.27, ""2023"": 0.093, ""2024"": 0.011, ""2025"": 0.413, ""2026"": -0.003}",,,,,,,,,0.0,False,0.02362082362082362,391
KOSPI-large-mom,sleeve,surge,KOSPI,large,mom,21,0.005,600.4,0.0756,-0.582,0.416,-0.0189,-0.01,0.1513,-0.453,-0.019,-0.08588607460958253,1.22,True,"{""2016"": -0.092, ""2017"": 0.22, ""2018"": -0.229, ""2019"": -0.104, ""2020"": 0.193, ""2021"": 0.022, ""2022"": -0.217, ""2023"": 0.021, ""2024"": 0.134, ""2025"": 0.76, ""2026"": 0.436}",0.0453,,,,,,,,0.0,False,0.02362082362082362,391
KOSPI-large-h52,sleeve,surge,KOSPI,large,h52,21,0.005,432.3,0.0557,-0.5961,0.362,-0.0396,-0.153,0.1328,-0.3613,-0.0279,-0.09365677686825846,1.44,True,"{""2016"": -0.045, ""2017"": 0.163, ""2018"": -0.295, ""2019"": -0.129, ""2020"": 0.212, ""2021"": 0.111, ""2022"": -0.261, ""2023"": 0.087, ""2024"": 0.058, ""2025"": 0.566, ""2026"": 0.439}",0.0121,,,,,,,,0.0,False,0.02362082362082362,391
C*40+DAA30+PP30 [ALL-large-ma120],combo,combo,ALL,mix,combo,21,0.015,,0.0324,-0.2604,0.319,0.0653,0.563,0.0141,-0.2262,0.0166,0.0017972830382733118,1.02,True,"{""2017"": 0.014, ""2018"": 0.008, ""2019"": 0.052, ""2020"": 0.139, ""2021"": -0.0, ""2022"": -0.101, ""2023"": 0.038, ""2024"": -0.014, ""2025"": 0.175, ""2026"": 0.005}",,,,,,,,,0.0,False,0.02362082362082362,391
ALL-large-mom,sleeve,surge,ALL,large,mom,21,0.005,454.6,0.0434,-0.5473,0.296,0.0393,0.283,0.0405,-0.5379,-0.0208,-0.0431443084138865,2.53,True,"{""2016"": -0.183, ""2017"": 0.09, ""2018"": -0.122, ""2019"": -0.094, ""2020"": 0.692, ""2021"": -0.06, ""2022"": -0.336, ""2023"": 0.068, ""2024"": 0.041, ""2025"": 0.814, ""2026"": 0.032}",0.0055,,,,,,,,0.0,False,0.02362082362082362,391
KOSDAQ-micro-h52,sleeve,surge,KOSDAQ,micro,h52,21,0.018,15.6,0.082,-0.9052,0.291,-0.0493,0.019,0.1967,-0.8834,-0.196,-0.3215889157627352,4.02,True,"{""2016"": -0.073, ""2017"": -0.422, ""2018"": -0.185, ""2019"": 0.303, ""2020"": 0.387, ""2021"": -0.155, ""2022"": -0.231, ""2023"": -0.35, ""2024"": -0.551, ""2025"": -0.226, ""2026"": 18.66}",-0.2349,,,,,,,,0.0,False,0.02362082362082362,391
ALL-micro-h52,sleeve,surge,ALL,micro,h52,21,0.015,18.0,0.0083,-0.9438,0.275,-0.1541,-0.346,0.1605,-0.8775,-0.2474,-0.31733521165235723,34.77,True,"{""2016"": -0.168, ""2017"": -0.388, ""2018"": -0.195, ""2019"": 0.242, ""2020"": -0.107, ""2021"": -0.132, ""2022"": -0.429, ""2023"": -0.366, ""2024"": -0.412, ""2025"": -0.165, ""2026"": 14.524}",-0.2642,,,,,,,,0.0,False,0.02362082362082362,391
KOSPI-large-low52,sleeve,crash,KOSPI,large,low52,21,0.005,327.1,0.0348,-0.5571,0.273,-0.023,-0.041,0.087,-0.3685,-0.012,-0.08546128281764531,1.42,True,"{""2016"": -0.006, ""2017"": 0.149, ""2018"": -0.169, ""2019"": -0.038, ""2020"": -0.018, ""2021"": 0.158, ""2022"": -0.209, ""2023"": 0.085, ""2024"": 0.01, ""2025"": 0.436, ""2026"": 0.106}",,,,,,,,,0.0,False,0.02362082362082362,391
KOSDAQ-micro-brk,sleeve,surge,KOSDAQ,micro,brk,21,0.018,11.3,-0.1315,-0.9885,0.261,-0.281,-0.793,0.0085,-0.949,-0.3684,-0.43278761056653325,,False,"{""2016"": -0.229, ""2017"": -0.517, ""2018"": -0.168, ""2019"": -0.272, ""2020"": -0.062, ""2021"": 0.05, ""2022"": -0.679, ""2023"": -0.373, ""2024"": -0.591, ""2025"": -0.22, ""2026"": 15.099}",,,,,,,,,0.0,False,0.02362082362082362,391
