factor,desc,cagr,mdd,sharpe,is_cagr,oos_cagr,oos_mdd
value_pbr,저PBR (Fama-French HML),0.0663,-0.5448,0.438,0.0636,0.0661,-0.3088
value_per,저PER,0.053,-0.5052,0.368,0.0551,0.0502,-0.3324
value_psr,저PSR,0.0597,-0.5447,0.393,0.0613,0.0548,-0.3006
value_combo,가치 3지표 합,0.0687,-0.5346,0.444,0.0539,0.0792,-0.2864
quality_opa,영업이익/자산 높음 (Novy-Marx 수익성 대용),0.0306,-0.4826,0.253,0.052,0.0119,-0.3772
quality_roe,ROE 높음,0.0266,-0.488,0.234,0.0476,0.008,-0.3949
magic_formula,그린블라트 마법공식(이익수익률+자본수익률),0.0431,-0.4988,0.318,0.0612,0.0272,-0.351
value_quality,가치+수익성,0.0526,-0.5149,0.366,0.0594,0.0458,-0.3413
momentum_12_1,12-1개월 모멘텀 (Jegadeesh-Titman),-0.0084,-0.5634,0.094,0.0078,-0.0248,-0.4675
high_52w,52주 신고가 근접 (George-Hwang),0.0508,-0.5667,0.31,0.0381,0.0574,-0.3905
low_vol,저변동성 (Ang 등),0.0398,-0.4898,0.334,0.0356,0.0425,-0.2936
reversal_1m,1개월 단기 반전,-0.0899,-0.7087,-0.285,-0.0343,-0.1355,-0.6882
low_max,"MAX 낮음(복권주 회피, Bali 등)",-0.0314,-0.5485,-0.097,-0.0247,-0.0391,-0.4638
asset_growth,자산 증가율 낮음 (Cooper-Gulen-Schill),0.0186,-0.615,0.202,0.1164,-0.0578,-0.449
earn_growth,순이익 증가율 높음,-0.0179,-0.6262,0.049,0.0059,-0.0395,-0.5093
illiquidity,회전율 낮음(비유동성 프리미엄),0.0362,-0.5016,0.302,0.0183,0.05,-0.269
value_momentum,가치+모멘텀 (Asness 등),0.0704,-0.5014,0.452,0.0593,0.0783,-0.2752
lowvol_value,저변동+가치,0.0737,-0.5247,0.501,0.0572,0.0851,-0.2752
qvm,가치+퀄리티+모멘텀,0.0571,-0.4884,0.386,0.0569,0.0561,-0.3106
