factor,cagr,mdd,sharpe,is_cagr,oos_cagr,oos_mdd
value_pbr,0.0405,-0.5428,0.296,0.0856,-0.0016,-0.4865
value_per,0.0783,-0.5422,0.44,0.2499,-0.0474,-0.5422
value_psr,0.0871,-0.5862,0.473,0.0928,0.0765,-0.3568
value_combo,0.1488,-0.4594,0.692,0.2754,0.0497,-0.3329
quality_opa,0.0849,-0.588,0.451,0.2851,-0.0581,-0.588
quality_roe,0.0482,-0.6745,0.319,0.2453,-0.0928,-0.6745
magic_formula,0.0538,-0.5518,0.343,0.191,-0.0493,-0.5518
value_quality,0.1156,-0.4988,0.574,0.2685,0.0023,-0.4988
momentum_12_1,-0.0433,-0.7871,-0.018,0.1537,-0.1835,-0.7871
high_52w,0.2319,-0.7523,0.306,0.0949,0.3544,-0.7523
low_vol,0.0488,-0.4464,0.346,0.1204,-0.0109,-0.4464
reversal_1m,-0.1706,-0.8853,-1.025,-0.1156,-0.2144,-0.7612
low_max,-0.1029,-0.7501,-0.459,-0.01,-0.176,-0.744
asset_growth,-0.151,-0.8672,-0.52,0.0296,-0.2781,-0.8672
earn_growth,0.0037,-0.6712,0.153,0.1107,-0.0777,-0.6712
illiquidity,0.0114,-0.6046,0.164,-0.0149,0.031,-0.476
value_momentum,0.1007,-0.4405,0.516,0.1811,0.0356,-0.3955
lowvol_value,0.0637,-0.4757,0.4,0.096,0.0345,-0.4194
qvm,0.1216,-0.5371,0.594,0.3001,-0.008,-0.5371
